Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Tue Jun 30 11:28:51 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 158, 1, 158, 1, 1, 5, 133
Tue Jun 30 11:28:53 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 159, 1, 159, 1, 1, 5, 194
Tue Jun 30 11:28:55 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 160, 1, 160, 1, 1, 5, 115
Tue Jun 30 11:28:57 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 157, 0, 0, 0, 0, 0, 1, 0, 0, 1, 161, 1, 161, 1, 1, 5, 192
Tue Jun 30 11:28:59 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 0,80, 3, 76, 232, 0, 0, 0, 0, 0, 1, 0, 0, 1, 162, 1, 162, 1, 1, 5, 185
Tue Jun 30 11:29:01 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 163, 1, 163, 1, 1, 5, 183
Tue Jun 30 11:29:03 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 157, 0, 0, 0, 0, 0, 1, 0, 0, 1, 164, 1, 164, 1, 1, 5, 182
Tue Jun 30 11:29:05 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 176, 0, 0, 0, 0, 0, 1, 0, 0, 1, 165, 1, 165, 1, 1, 5, 162
Tue Jun 30 11:29:07 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 157, 0, 0, 0, 0, 0, 1, 0, 0, 1, 166, 1, 166, 1, 1, 5, 193
Tue Jun 30 11:29:09 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 167, 1, 167, 1, 1, 5, 157
Tue Jun 30 11:29:11 2026,11,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0, 1, 0, 0, 0,78, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 168, 1, 168, 1, 1, 5, 190
