Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Wed Jun 24 15:06:14 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,84, 92, 82, 95, 0, 0, 0, 0, 0, 1, 0, 0, 85, 0, 0, 0, 0, 31, 0, 93
Wed Jun 24 15:06:16 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0,84, 97, 84, 95, 0, 0, 0, 0, 0, 1, 0, 0, 86, 0, 0, 0, 0, 31, 0, 93
Wed Jun 24 15:06:18 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0,84, 95, 84, 95, 0, 0, 0, 0, 0, 1, 0, 0, 87, 0, 0, 0, 0, 31, 0, 92
Wed Jun 24 15:06:20 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0,84, 95, 82, 95, 0, 0, 0, 0, 0, 1, 0, 0, 88, 0, 0, 0, 0, 31, 0, 93
Wed Jun 24 15:06:22 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0,84, 92, 86, 95, 0, 0, 0, 0, 0, 1, 0, 0, 89, 0, 0, 0, 0, 31, 0, 95
Wed Jun 24 15:06:24 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0,84, 92, 84, 92, 0, 0, 0, 0, 0, 1, 0, 0, 90, 0, 0, 0, 0, 31, 0, 85
Wed Jun 24 15:06:26 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0,84, 95, 84, 95, 0, 0, 0, 0, 0, 1, 0, 0, 91, 0, 0, 0, 0, 31, 0, 91
Wed Jun 24 15:06:28 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0,84, 95, 82, 97, 0, 0, 0, 0, 0, 1, 0, 0, 92, 0, 0, 0, 0, 31, 0, 85
Wed Jun 24 15:06:30 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0,86, 92, 86, 97, 0, 0, 0, 0, 0, 1, 0, 0, 93, 0, 0, 0, 0, 31, 0, 84
Wed Jun 24 15:06:32 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0,86, 95, 84, 95, 0, 0, 0, 0, 0, 1, 0, 0, 94, 0, 0, 0, 0, 31, 0, 85
